chr	start	end	gene	region
chr19	58345178	58362751	A1BG	19:58345178-58362751
chr8	18386311	18401218	NAT2	8:18386311-18401218
chr20	44619522	44652233	ADA	20:44619522-44652233
chr18	27932879	28177946	CDH2	18:27932879-28177946
chr1	243488233	243851079	AKT3	1:243488233-243851079
chrX	49551278	49568218	GAGE12F	X:49551278-49568218
chrUn_GL000220v1	112025	112177	RNA5-8SN5	Un_GL000220v1:112025-112177
chr11	70072434	70075433	LINC02584	11:70072434-70075433
chr10	68010205	68010862	POU5F1P5	10:68010205-68010862
chr3	101676475	101679217	ZBTB11-AS1	3:101676475-101679217
chr14	70581257	70641204	MED6	14:70581257-70641204
chr15	71792638	71818259	NR2E3	15:71792638-71818259
chr11	90131515	90192894	NAALAD2	11:90131515-90192894
chr19	58016695	58025589	VN2R19P	19:58016695-58025589
chr16	75693893	75701461	DUXB	16:75693893-75701461
chr15	25051477	25051571	SNORD116-1	15:25051477-25051571
chr15	25054210	25054304	SNORD116-2	15:25054210-25054304
chr15	25056860	25056954	SNORD116-3	15:25056860-25056954
chr15	25059538	25059633	SNORD116-4	15:25059538-25059633
chr15	25062333	25062427	SNORD116-5	15:25062333-25062427
chr15	25065026	25065121	SNORD116-6	15:25065026-25065121
chr15	25067788	25067882	SNORD116-7	15:25067788-25067882
chr15	25070432	25070526	SNORD116-8	15:25070432-25070526
chr15	25073107	25073201	SNORD116-9	15:25073107-25073201
chr15	25074114	25074215	SNORD116-10	15:25074114-25074215
chr15	25075929	25076020	SNORD116-11	15:25075929-25076020
chr15	25077051	25077142	SNORD116-12	15:25077051-25077142
chr15	25079058	25079149	SNORD116-13	15:25079058-25079149
chr15	25080142	25080233	SNORD116-14	15:25080142-25080233
chr15	25081287	25081378	SNORD116-15	15:25081287-25081378
chr15	25082768	25082859	SNORD116-16	15:25082768-25082859
chr15	25083588	25083679	SNORD116-17	15:25083588-25083679
chr15	25085385	25085476	SNORD116-18	15:25085385-25085476
chr15	25087661	25088896	SNORD116-20	15:25087661-25088896
chr15	25088804	25088895	SNORD116-21	15:25088804-25088895
chr15	25089923	25090014	SNORD116-22	15:25089923-25090014
chr15	25091786	25091877	SNORD116-23	15:25091786-25091877
chr15	25094037	25094128	SNORD116-24	15:25094037-25094128
chr15	25097663	25097754	SNORD116-25	15:25097663-25097754
chr15	25172635	25172716	SNORD115-2	15:25172635-25172716
chr15	25099499	25099594	SNORD116-26	15:25099499-25099594
chr15	25101575	25101666	SNORD116-27	15:25101575-25101666
chr15	25174927	25175008	SNORD115-3	15:25174927-25175008
chr15	25176832	25176913	SNORD115-4	15:25176832-25176913
chr15	25178738	25178819	SNORD115-5	15:25178738-25178819
chr15	25180497	25180578	SNORD115-6	15:25180497-25180578
chr15	25182385	25182466	SNORD115-7	15:25182385-25182466
chr15	25184306	25184387	SNORD115-8	15:25184306-25184387
chr15	25185631	25185712	SNORD115-9	15:25185631-25185712
